Description,Bridge Item,Part Number,W,L,Color,Edge,Material Charge,Total Charge
"Door,23.875 x 23 Red",Powder Coated Door,880300b,23.875,,,,17.56
"Door,23.875 x 23 White",WXL Door,820300,23.875,,WHITE,WHITE,8.55
"Door,23.875 x 23 Windswept WINDSWEPT BRONZE",WXL Door,810300,23.875,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,13.47
"Door,23.875 x 23 Windswept WINDSWEPT PEWTER",WXL Door,830300,23.875,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,13.47
"Door,23.875 x 30.75 Granite",Powder Coated Door,880310a,23.875,,,,22.01
"Door,23.875 x 30.75 HARDROCK MAPLE",WXL Door,800310,23.875,,HARDROCK MAPLE,HARDROCK MAPLE,13.40
"Door,23.875 x 30.75 Red",Powder Coated Door,880310b,23.875,,,,22.01
"Door,23.875 x 30.75 White",WXL Door,820310,23.875,,WHITE,WHITE,10.98
"Door,23.875 x 30.75 Windswept WINDSWEPT BRONZE",WXL Door,810310,23.875,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,17.10
"Door,23.875 x 30.75 Windswept WINDSWEPT PEWTER",WXL Door,830310,23.875,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,17.10
"Door,23.875 x 48 Granite",Powder Coated Door,880305a,23.875,,,,30.76
"Door,23.875 x 48 HARDROCK MAPLE",WXL Door,800305,23.875,,HARDROCK MAPLE,HARDROCK MAPLE,20.49
"Door,23.875 x 48 Red",Powder Coated Door,880305b,23.875,,,,30.76
"Door,23.875 x 48 White",WXL Door,820305,23.875,,WHITE,WHITE,16.88
"Door,23.875 x 48 Windswept WINDSWEPT BRONZE",WXL Door,810305,23.875,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,25.91
"Door,23.875 x 48 Windswept WINDSWEPT PEWTER",WXL Door,830305,23.875,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,25.91
"Door,23.875 x 72 Granite",Powder Coated Door,880306a,23.875,,,,49.37
"Door,23.875 x 72 HARDROCK MAPLE",WXL Door,800306,23.875,,HARDROCK MAPLE,HARDROCK MAPLE,23.10
"Door,23.875 x 72 Red",Powder Coated Door,880306b,23.875,,,,49.37
"Door,23.875 x 72 White",WXL Door,820306,23.875,,WHITE,WHITE,19.09
