 id  ,                                name                                ,                            description                             , sku , units ,      dvinci_id      ,  cutrite_id  ,         created_at         ,         updated_at         
176," NX Base Cabinet, 17D-4DrawerBase, Red/Windswept Pewter      ","NX Base Cabinet, 4Drawer, Red/Windswept Pewter      ",,, 007.240.231.011.000 ,NX-BD4P,10/29/2010 23:08:02,10/29/2010 23:08:02
171," NX Base Cabinet, 20D-1+1Base                                ","NX Base Cabinet, 1Door, 1Drawer                                ",,, 007.211.232.x.000   ,NX-B1D1-1AS,10/29/2010 23:08:02,10/29/2010 23:08:02
170," NX Base Cabinet, 20D-1DoorBase                              ","NX Base Cabinet, 2Door",,, 007.101.232.x.000   ,NX-B1-1AS,10/29/2010 23:08:01,10/29/2010 23:08:01
169," NX Base Cabinet, 20D-2DoorBase                              ","NX Base Cabinet, 1Door",,, 007.102.432.x.000   ,NX-B2-1AS,10/29/2010 23:08:01,10/29/2010 23:08:01
172," NX Base Cabinet, 20D-4DrawerBase                            ","NX Base Cabinet, 4Drawer                        ",,, 007.240.232.x.000   ,NX-BD4,10/29/2010 23:08:02,10/29/2010 23:08:02
167," NX Base Cabinet, 24D-1+1Base                                ","NX Base Cabinet, 1Door, 1Drawer                                ",,, 007.211.233.x.000   ,NX-B1D1-1AS,10/29/2010 23:08:01,10/29/2010 23:08:01
166," NX Base Cabinet, 24D-1DoorBase                              ","NX Base Cabinet, 2Door",,, 007.101.233.x.000   ,NX-B1-1AS,10/29/2010 23:08:01,10/29/2010 23:08:01
165," NX Base Cabinet, 24D-2DoorBase                              ","NX Base Cabinet, 1Door",,, 007.102.433.x.000   ,NX-B2-1AS,10/29/2010 23:08:01,10/29/2010 23:08:01
168," NX Base Cabinet, 24D-4DrawerBase                            ","NX Base Cabinet, 4Drawer                        ",,, 007.240.233.x.000   ,NX-BD4,10/29/2010 23:08:01,10/29/2010 23:08:01
160," NX Wall Cabinet, 17D-23H-1DoorOver                          ","NX Wall Cabinet, 1Door                          ",,, 007.301.221.x.000   ,NX-W1-1AS,10/29/2010 23:08:00,10/29/2010 23:08:00
157," NX Wall Cabinet, 17D-23H-2DoorOver                          ","NX Wall Cabinet, 2Door                         ",,, 007.302.421.x.000   ,NX-W2-1AS,10/29/2010 23:08:00,10/29/2010 23:08:00
159," NX Wall Cabinet, 17D-30H-1DoorOver                          ","NX Wall Cabinet, 1Door                          ",,, 007.301.231.x.000   ,NX-W1-1AS,10/29/2010 23:08:00,10/29/2010 23:08:00
156," NX Wall Cabinet, 17D-30H-2DoorOver                          ","NX Wall Cabinet, 2Door                         ",,, 007.302.431.x.000   ,NX-W2-1AS,10/29/2010 23:08:00,10/29/2010 23:08:00
158," NX Wall Cabinet, 17D-45H-1DoorOver                          ","NX Wall Cabinet, 1Door                          ",,, 007.301.241.x.000   ,NX-W1-2AS,10/29/2010 23:08:00,10/29/2010 23:08:00
155," NX Wall Cabinet, 17D-45H-2DoorOver                          ","NX Wall Cabinet, 2Door                         ",,, 007.302.441.x.000   ,NX-W2-2AS,10/29/2010 23:08:00,10/29/2010 23:08:00
154," NX Wall Cabinet, 21D-23H-1DoorOver                          ","NX Wall Cabinet, 1Door                          ",,, 007.301.222.x.000   ,NX-W1-1AS,10/29/2010 23:07:59,10/29/2010 23:07:59
151," NX Wall Cabinet, 21D-23H-2DoorOver                          ","NX Wall Cabinet, 2Door                         ",,, 007.302.422.x.000   ,NX-W2-1AS,10/29/2010 23:07:59,10/29/2010 23:07:59
153," NX Wall Cabinet, 21D-30H-1DoorOver                          ","NX Wall Cabinet, 1Door                          ",,, 007.301.232.x.000   ,NX-W1-1AS,10/29/2010 23:07:59,10/29/2010 23:07:59
150," NX Wall Cabinet, 21D-30H-2DoorOver                          ","NX Wall Cabinet, 2Door                         ",,, 007.302.432.x.000   ,NX-W2-1AS,10/29/2010 23:07:59,10/29/2010 23:07:59
152," NX Wall Cabinet, 21D-45H-1DoorOver                          ","NX Wall Cabinet, 1Door                          ",,, 007.301.242.x.000   ,NX-W1-2AS,10/29/2010 23:07:59,10/29/2010 23:07:59
149," NX Wall Cabinet, 21D-45H-2DoorOver                          ","NX Wall Cabinet, 2Door                         ",,, 007.302.442.x.000   ,NX-W2-2AS,10/29/2010 23:07:59,10/29/2010 23:07:59
148," NX Wall Cabinet, 24D-23H-1DoorOver                          ","NX Wall Cabinet, 1Door                          ",,, 007.321.243.x.000   ,NX-W1-1AS,10/29/2010 23:07:59,10/29/2010 23:07:59
145," NX Wall Cabinet, 24D-23H-2DoorOver                          ","NX Wall Cabinet, 2Door                         ",,, 007.322.443.x.000   ,NX-W2-1AS,10/29/2010 23:07:58,10/29/2010 23:07:58
147," NX Wall Cabinet, 24D-30H-1DoorOver                          ","NX Wall Cabinet, 1Door                          ",,, 007.311.243.x.000   ,NX-W1-1AS,10/29/2010 23:07:59,10/29/2010 23:07:59
144," NX Wall Cabinet, 24D-30H-2DoorOver                          ","NX Wall Cabinet, 2Door                         ",,, 007.312.443.x.000   ,NX-W2-1AS,10/29/2010 23:07:58,10/29/2010 23:07:58
146," NX Wall Cabinet, 24D-45H-1DoorOver                          ","NX Wall Cabinet, 1Door                          ",,, 007.301.243.x.000   ,NX-W1-2AS,10/29/2010 23:07:58,10/29/2010 23:07:58
143," NX Wall Cabinet, 24D-45H-2DoorOver                          ","NX Wall Cabinet, 2Door                         ",,, 007.302.443.x.000   ,NX-W2-2AS,10/29/2010 23:07:58,10/29/2010 23:07:58
142," NX Tall Cabinet, 17D-68H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.261.x.000   ,NX-T1-3AS,10/29/2010 23:07:58,10/29/2010 23:07:58
126," NX Tall Cabinet, 24D-68H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.263.x.000   ,NX-T1-3AS,10/29/2010 23:07:54,10/29/2010 23:07:54
134," NX Tall Cabinet, 21D-68H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.268.x.000   ,NX-T1-3AS,10/29/2010 23:07:55,10/29/2010 23:07:55
141," NX Tall Cabinet, 17D-76H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.271.x.000   ,NX-T1-3AS,10/29/2010 23:07:58,10/29/2010 23:07:58
133," NX Tall Cabinet, 21D-76H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.272.x.000   ,NX-T1-3AS,10/29/2010 23:07:55,10/29/2010 23:07:55
125," NX Tall Cabinet, 24D-76H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.273.x.000   ,NX-T1-3AS,10/29/2010 23:07:54,10/29/2010 23:07:54
140," NX Tall Cabinet, 17D-83H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.281.x.000   ,NX-T1-3AS,10/29/2010 23:07:57,10/29/2010 23:07:57
132," NX Tall Cabinet, 21D-83H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.282.x.000   ,NX-T1-3AS,10/29/2010 23:07:55,10/29/2010 23:07:55
124," NX Tall Cabinet, 24D-83H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.283.x.000   ,NX-T1-3AS,10/29/2010 23:07:54,10/29/2010 23:07:54
139," NX Tall Cabinet, 17D-91H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.291.x.000   ,NX-T1-3AS,10/29/2010 23:07:56,10/29/2010 23:07:56
131," NX Tall Cabinet, 21D-91H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.292.x.000   ,NX-T1-3AS,10/29/2010 23:07:55,10/29/2010 23:07:55
123," NX Tall Cabinet, 24D-91H-1DoorTall                          ","NX Tall Cabinet, 1Door",,, 007.401.293.x.000   ,NX-T1-3AS,10/29/2010 23:07:54,10/29/2010 23:07:54
138," NX Tall Cabinet, 17D-68H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.461.x.000   ,NX-T2-3AS,10/29/2010 23:07:56,10/29/2010 23:07:56
130," NX Tall Cabinet, 21D-68H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.462.x.000   ,NX-T2-3AS,10/29/2010 23:07:54,10/29/2010 23:07:54
122," NX Tall Cabinet, 24D-68H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.463.x.000   ,NX-T2-3AS,10/29/2010 23:07:53,10/29/2010 23:07:53
137," NX Tall Cabinet, 17D-76H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.471.x.000   ,NX-T2-3AS,10/29/2010 23:07:55,10/29/2010 23:07:55
129," NX Tall Cabinet, 21D-76H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.472.x.000   ,NX-T2-3AS,10/29/2010 23:07:54,10/29/2010 23:07:54
121," NX Tall Cabinet, 24D-76H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.473.x.000   ,NX-T2-3AS,10/29/2010 23:07:53,10/29/2010 23:07:53
136," NX Tall Cabinet, 17D-83H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.481.x.000   ,NX-T2-3AS,10/29/2010 23:07:55,10/29/2010 23:07:55
