PartID	CatalogID	PartString	Description	Quantity	 Price 	Labor	LowesID	HomeDepotID	SuppressInBom	BulkPriced	HideInBom	SpecialFlags	Weight	Image
100000912	4	000.912.373.002.00M	Upright Partition - BaseNotch - Right | ANTIQUE WHITE	1	74.49	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000832
100000913	4	000.912.283.002.00M	Upright Partition - BaseNotch - Thru | ANTIQUE WHITE	1	85.89	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000832
100000914	4	000.912.183.002.00M	Upright Partition - BaseNotch - Left | ANTIQUE WHITE	1	83.25	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000832
100000915	4	000.912.383.002.00M	Upright Partition - BaseNotch - Right | ANTIQUE WHITE	1	83.25	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000832
100000916	4	000.912.274.002.00M	Upright Partition - BaseNotch - Thru | ANTIQUE WHITE	1	91.95	0.045			FALSE	FALSE	0	"CutH,CutD"	43	100000832
100000917	4	000.912.174.002.00M	Upright Partition - BaseNotch - Left | ANTIQUE WHITE	1	89.1	0.045			FALSE	FALSE	0	"CutH,CutD"	43	100000832
100000918	4	000.912.374.002.00M	Upright Partition - BaseNotch - Right | ANTIQUE WHITE	1	89.1	0.045			FALSE	FALSE	0	"CutH,CutD"	43	100000832
100000919	4	000.912.284.002.00M	Upright Partition - BaseNotch - Thru | ANTIQUE WHITE	1	102.75	0.045			FALSE	FALSE	0	"CutH,CutD"	49	100000832
100000920	4	000.912.184.002.00M	Upright Partition - BaseNotch - Left | ANTIQUE WHITE	1	99.57	0.045			FALSE	FALSE	0	"CutH,CutD"	49	100000832
100000921	4	000.912.384.002.00M	Upright Partition - BaseNotch - Right | ANTIQUE WHITE	1	99.57	0.045			FALSE	FALSE	0	"CutH,CutD"	49	100000832
100000922	4	000.911.270.002.00M	Upright Partition - Thru | ANTIQUE WHITE	1	46.47	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000862
100000923	4	000.911.170.002.00M	Upright Partition - Left | ANTIQUE WHITE	1	45.03	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000862
100000924	4	000.911.370.002.00M	Upright Partition - Right | ANTIQUE WHITE	1	45.03	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000862
100000925	4	000.911.280.002.00M	Upright Partition - Thru | ANTIQUE WHITE	1	51.93	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000862
100000926	4	000.911.180.002.00M	Upright Partition - Left | ANTIQUE WHITE	1	50.31	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000862
100000927	4	000.911.380.002.00M	Upright Partition - Right | ANTIQUE WHITE	1	50.31	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000862
100000928	4	000.911.271.002.00M	Upright Partition - Thru | ANTIQUE WHITE	1	53.97	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000862
100000929	4	000.911.171.002.00M	Upright Partition - Left | ANTIQUE WHITE	1	52.29	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000862
100000930	4	000.911.371.002.00M	Upright Partition - Right | ANTIQUE WHITE	1	52.29	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000862
100000931	4	000.911.281.002.00M	Upright Partition - Thru | ANTIQUE WHITE	1	60.3	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000932	4	000.911.181.002.00M	Upright Partition - Left | ANTIQUE WHITE	1	58.44	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000933	4	000.911.381.002.00M	Upright Partition - Right | ANTIQUE WHITE	1	58.44	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000934	4	000.911.272.002.00M	Upright Partition - Thru | ANTIQUE WHITE	1	61.47	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000935	4	000.911.172.002.00M	Upright Partition - Left | ANTIQUE WHITE	1	59.55	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000936	4	000.911.372.002.00M	Upright Partition - Right | ANTIQUE WHITE	1	59.55	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000937	4	000.911.282.002.00M	Upright Partition - Thru | ANTIQUE WHITE	1	68.67	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000862
100000938	4	000.911.182.002.00M	Upright Partition - Left | ANTIQUE WHITE	1	66.57	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000862
100000939	4	000.911.382.002.00M	Upright Partition - Right | ANTIQUE WHITE	1	66.57	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000862
100000940	4	000.911.273.002.00M	Upright Partition - Thru | ANTIQUE WHITE	1	76.44	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000862
100000941	4	000.911.173.002.00M	Upright Partition - Left | ANTIQUE WHITE	1	74.1	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000862
100000942	4	000.911.373.002.00M	Upright Partition - Right | ANTIQUE WHITE	1	74.1	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000862
100000943	4	000.911.283.002.00M	Upright Partition - Thru | ANTIQUE WHITE	1	85.44	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000862
100000944	4	000.911.183.002.00M	Upright Partition - Left | ANTIQUE WHITE	1	82.83	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000862
