"Premium Door DBQ, Folkstone Grey, Door","DBQ816, Folkstone Grey-FGFM, Door #816","6.65","sq.ft.","0.00","ea.",0.25,"ea.","9.20","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DBQ, Folkstone Grey, Slab Drawer Front","DBQ816, Folkstone Grey-FGFM, Slab DF #816D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DBQ, Folkstone Grey, Cut for Glass Door","DBQ816, Folkstone Grey-FGFM, Cut for Glass #816G","6.65","sq.ft.","15.00","ea.",0.25,"ea.","9.20","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DBQ, Folkstone Grey, French Lite Door","DBQ816, Folkstone Grey-FGFM, French Lite #816F","6.65","sq.ft.","7.50","ea.",0.25,"ea.","9.20","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DR8, Folkstone Grey, Door","DR8, Folkstone Grey-FGFM, Door #785","6.65","sq.ft.","0.00","ea.",0.25,"ea.","9.20","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR8, Folkstone Grey, Routed Drawer Front","DR8, Folkstone Grey-FGFM, Routed DF #785R","6.65","sq.ft.","5.00","ea.",0.25,"ea.","10.25","sq.ft.","5.00","ea.",0.25,"ea."
"Premium Door DR8, Folkstone Grey, Slab Drawer Front","DR8, Folkstone Grey-FGFM, Slab DF #785D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR8, Folkstone Grey, Cut for Glass Door","DR8, Folkstone Grey-FGFM, Cut for Glass #785G","6.65","sq.ft.","15.00","ea.",0.25,"ea.","9.20","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DR8, Folkstone Grey, French Lite Door","DR8, Folkstone Grey-FGFM, French Lite Door #785F","6.65","sq.ft.","7.50","ea.",0.25,"ea.","9.20","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DRS131, Folkstone Grey, Door","DRS131, Folkstone Grey-FGFM, Door #131","12.00","sq.ft.","0.00","ea.",0.25,"ea.","14.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DRS131, Folkstone Grey, Routed Drawer Front","DRS131, Folkstone Grey-FGFM, Routed DF #131R","12.00","sq.ft.","5.00","ea.",0.25,"ea.","10.25","sq.ft.","10.00","ea.",0.25,"ea."
"Premium Door DRS131, Folkstone Grey, Slab Drawer Front","DRS131, Folkstone Grey-FGFM, Slab DF #131D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DRS131, Folkstone Grey, Cut for Glass Door","DRS131, Folkstone Grey-FGFM, Cut for Glass #131G","12.00","sq.ft.","15.00","ea.",0.25,"ea.","14.25","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DRS131, Folkstone Grey, French Lite Door","DRS131, Folkstone Grey-FGFM, French Lite Door #131F","12.00","sq.ft.","7.50","ea.",0.25,"ea.","14.25","sq.ft.","7.50","ea.",0.25,"ea."
"Crown Molding, Folkstone Grey, 3-3/4""","Crown Molding, Folkstone Grey-FGFM, 3-3/4"", 423-8, #3003",15.6,"ea.","10.00","ea.",0.25,"ea.",17.30,"ea.","0.00","ea.",0.25,"ea."
"Crown Molding, Folkstone Grey, 4-1/2""","Crown Molding, Folkstone Grey-FGFM, 4-1/2"", 424-8, #3004",15.9,"ea.","10.00","ea.",0.25,"ea.",18.95,"ea.","0.00","ea.",0.25,"ea."
"Base Molding, Folkstone Grey, 2-1/2""","Base Molding, Folkstone Grey-FGFM, 2-1/2"", 426-8, #3007",10.05,"ea.","10.00","ea.",0.25,"ea.",11.15,"ea.","0.00","ea.",0.25,"ea."
"Scribe Molding, Folkstone Grey, 1""","Scribe Molding, Folkstone Grey-FGFM, 1"", 428-8, #3012",6.25,"ea.","10.00","ea.",0.25,"ea.",6.95,"ea.","0.00","ea.",0.25,"ea."
"Fluted Molding, Folkstone Grey, 3-1/2""","Fluted Molding, Folkstone Grey-FGFM, 3-1/2"", 431-8, #3013",19.75,"ea.","10.00","ea.",0.25,"ea.",21.95,"ea.","0.00","ea.",0.25,"ea."
"Filler A","Filler A, Folkstone Grey-FGFM, 471, #3250",9.00,"ea.","0.00","ea.",10.00,"ea.",10.00,"ea.","0.00","ea.",0.25,"ea."
"Filler B","Filler A, Folkstone Grey-FGFM, 472, #3251",9.00,"ea.","0.00","ea.",10.00,"ea.",10.00,"ea.","0.00","ea.",0.25,"ea."
"Filler C","Filler A, Folkstone Grey-FGFM, 469, #3255",9.00,"ea.","15.00","ea.",10.00,"ea.",10.00,"ea.","15.00","ea.",0.25,"ea."
"Premium Door JR7, Sable Glow, Door","JR7, Sable Glow-CHPG, Door #727","12.30","sq.ft.","0.00","ea.",0.25,"ea.",14.00,"sq.ft.","0.00","ea.",0.25,"ea."
