PartID,CatalogID,PartString,Description - Updated 11/11/10,Quantity, Price ,Labor,Lin Ft Price, Item Price ,SuppressInBom,BulkPriced,HideInBom,SpecialFlags,Weight,Image
100004152,4,000.935.040.005.00M,"Adjustable Safety Shelf, (42x12), Wild Apple",1,29.99,0.025,,,FALSE,FALSE,0,"CutV,CutD",11,100001385
100004153,4,000.935.921.005.00M,"Adjustable Safety Shelf, (12x14), Wild Apple",1,11.9,0.025,,,FALSE,FALSE,0,"CutV,CutD",4,100001385
100004154,4,000.935.981.005.00M,"Adjustable Safety Shelf, (18x14), Wild Apple",1,16.42,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004155,4,000.935.011.005.00M,"Adjustable Safety Shelf, (24x14), Wild Apple",1,22.45,0.025,,,FALSE,FALSE,0,"CutV,CutD",7,100001385
100004156,4,000.935.021.005.00M,"Adjustable Safety Shelf, (30x14), Wild Apple",1,26.97,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004157,4,000.935.031.005.00M,"Adjustable Safety Shelf, (36x14), Wild Apple",1,29.99,0.025,,,FALSE,FALSE,0,"CutV,CutD",11,100001385
100004158,4,000.935.041.005.00M,"Adjustable Safety Shelf, (42x14), Wild Apple",1,36.02,0.025,,,FALSE,FALSE,0,"CutV,CutD",13,100001385
100004159,4,000.935.922.005.00M,"Adjustable Safety Shelf, (12x16), Wild Apple",1,13.4,0.025,,,FALSE,FALSE,0,"CutV,CutD",4,100001385
100004160,4,000.935.982.005.00M,"Adjustable Safety Shelf, (18x16), Wild Apple",1,17.93,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004161,4,000.935.012.005.00M,"Adjustable Safety Shelf, (24x16), Wild Apple",1,23.96,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004162,4,000.935.022.005.00M,"Adjustable Safety Shelf, (30x16), Wild Apple",1,28.48,0.025,,,FALSE,FALSE,0,"CutV,CutD",10,100001385
100004163,4,000.935.032.005.00M,"Adjustable Safety Shelf, (36x16), Wild Apple",1,33,0.025,,,FALSE,FALSE,0,"CutV,CutD",12,100001385
100004164,4,000.935.042.005.00M,"Adjustable Safety Shelf, (42x16), Wild Apple",1,37.52,0.025,,,FALSE,FALSE,0,"CutV,CutD",14,100001385
100004165,4,000.935.923.005.00M,"Adjustable Safety Shelf, (12x20), Wild Apple",1,16.42,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004166,4,000.935.983.005.00M,"Adjustable Safety Shelf, (18x20), Wild Apple",1,20.94,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004167,4,000.935.013.005.00M,"Adjustable Safety Shelf, (24x20), Wild Apple",1,26.97,0.025,,,FALSE,FALSE,0,"CutV,CutD",10,100001385
100004168,4,000.935.023.005.00M,"Adjustable Safety Shelf, (30x20), Wild Apple",1,31.49,0.025,,,FALSE,FALSE,0,"CutV,CutD",13,100001385
100004169,4,000.935.033.005.00M,"Adjustable Safety Shelf, (36x20), Wild Apple",1,36.02,0.025,,,FALSE,FALSE,0,"CutV,CutD",15,100001385
100004170,4,000.935.043.005.00M,"Adjustable Safety Shelf, (42x20), Wild Apple",1,40.54,0.025,,,FALSE,FALSE,0,"CutV,CutD",18,100001385
100004171,4,000.935.924.005.00M,"Adjustable Safety Shelf, (12x24), Wild Apple",1,17.93,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004172,4,000.935.984.005.00M,"Adjustable Safety Shelf, (18x24), Wild Apple",1,25.46,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004173,4,000.935.014.005.00M,"Adjustable Safety Shelf, (24x24), Wild Apple",1,33,0.025,,,FALSE,FALSE,0,"CutV,CutD",12,100001385
100004174,4,000.935.024.005.00M,"Adjustable Safety Shelf, (30x24), Wild Apple",1,40.54,0.025,,,FALSE,FALSE,0,"CutV,CutD",15,100001385
100004175,4,000.935.034.005.00M,"Adjustable Safety Shelf, (36x24), Wild Apple",1,48.08,0.025,,,FALSE,FALSE,0,"CutV,CutD",18,100001385
100004176,4,000.935.044.005.00M,"Adjustable Safety Shelf, (42x24), Wild Apple",1,55.61,0.025,,,FALSE,FALSE,0,"CutV,CutD",21,100001385
100004177,4,000.935.920.006.00M,"Adjustable Safety Shelf, (12x12), Mahogany Impressions",1,10.39,0.025,,,FALSE,FALSE,0,"CutV,CutD",3,100001385
100004178,4,000.935.980.006.00M,"Adjustable Safety Shelf, (18x12), Mahogany Impressions",1,14.91,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004179,4,000.935.010.006.00M,"Adjustable Safety Shelf, (24x12), Mahogany Impressions",1,17.93,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004180,4,000.935.020.006.00M,"Adjustable Safety Shelf, (30x12), Mahogany Impressions",1,22.45,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004181,4,000.935.030.006.00M,"Adjustable Safety Shelf, (36x12), Mahogany Impressions",1,25.46,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004182,4,000.935.040.006.00M,"Adjustable Safety Shelf, (42x12), Mahogany Impressions",1,29.99,0.025,,,FALSE,FALSE,0,"CutV,CutD",11,100001385
