"Product Name","Product No","Product Active","Customer Part No","Product Category","Stocking Code","GL Account","Kanban Part","CutRite Product ID","Weight","QB Product Code","Shipping Method","Part Number","Nom W","Case Material","Nom H","Cabinet Material","Nom D","Cabinet Edgeband","Eng W","Cabinet Edgeband 2","Eng H","Door Material","Eng D","Door Edgeband","Product Sheet","Created Time","Website","Modified Time","Unit Price","Tax Class","Stock Type","Qty/Unit","Usage Unit","Reorder Level","Qty. in Stock","Qty. in Demand","Handler","Product Image","Description"
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102396","1","401.293.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","219.560","NX-T1-3AS-24x91x24-WIL","Not Accessible","NX-T1-3AS-24x91x24-WIL","24.000","3/4_WILD_APPLE-2S","91.000","WILD APPLE","24.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","2304.000","3/4_WILD_APPLE-2S","609.600","3/4_AUTUMN_PVC","","2010-06-18 13:23:54","","2010-06-21 14:20:24","182.40","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102397","1","402.461.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","246.680","NX-T2-3AS-48x68x17-WIL","Not Accessible","NX-T2-3AS-48x68x17-WIL","48.000","3/4_WILD_APPLE-2S","68.000","WILD APPLE","17.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1728.000","3/4_WILD_APPLE-2S","431.800","3/4_AUTUMN_PVC","","2010-06-18 13:23:54","","2010-06-21 14:20:25","222.19","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102398","1","402.462.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","282.490","NX-T2-3AS-48x68x21-WIL","Not Accessible","NX-T2-3AS-48x68x21-WIL","48.000","3/4_WILD_APPLE-2S","68.000","WILD APPLE","21.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1728.000","3/4_WILD_APPLE-2S","533.400","3/4_AUTUMN_PVC","","2010-06-18 13:23:55","","2010-06-21 14:20:25","237.85","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102399","1","402.463.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","309.340","NX-T2-3AS-48x68x24-WIL","Not Accessible","NX-T2-3AS-48x68x24-WIL","48.000","3/4_WILD_APPLE-2S","68.000","WILD APPLE","24.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1728.000","3/4_WILD_APPLE-2S","609.600","3/4_AUTUMN_PVC","","2010-06-18 13:23:56","","2010-06-21 14:20:26","245.45","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102400","1","402.471.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","262.150","NX-T2-3AS-48x76x17-WIL","Not Accessible","NX-T2-3AS-48x76x17-WIL","48.000","3/4_WILD_APPLE-2S","76.000","WILD APPLE","17.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1920.000","3/4_WILD_APPLE-2S","431.800","3/4_AUTUMN_PVC","","2010-06-18 13:23:56","","2010-06-21 14:20:26","234.40","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102401","1","402.472.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","299.150","NX-T2-3AS-48x76x21-WIL","Not Accessible","NX-T2-3AS-48x76x21-WIL","48.000","3/4_WILD_APPLE-2S","76.000","WILD APPLE","21.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1920.000","3/4_WILD_APPLE-2S","533.400","3/4_AUTUMN_PVC","","2010-06-18 13:23:56","","2010-06-21 14:20:27","250.25","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102402","1","402.473.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","326.910","NX-T2-3AS-48x76x24-WIL","Not Accessible","NX-T2-3AS-48x76x24-WIL","48.000","3/4_WILD_APPLE-2S","76.000","WILD APPLE","24.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1920.000","3/4_WILD_APPLE-2S","609.600","3/4_AUTUMN_PVC","","2010-06-18 13:23:57","","2010-06-21 14:20:27","257.91","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102403","1","402.481.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","277.610","NX-T2-3AS-48x83x17-WIL","Not Accessible","NX-T2-3AS-48x83x17-WIL","48.000","3/4_WILD_APPLE-2S","83.000","WILD APPLE","17.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","2112.000","3/4_WILD_APPLE-2S","431.800","3/4_AUTUMN_PVC","","2010-06-18 13:23:57","","2010-06-21 14:20:27","246.60","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102404","1","402.482.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","315.820","NX-T2-3AS-48x83x21-WIL","Not Accessible","NX-T2-3AS-48x83x21-WIL","48.000","3/4_WILD_APPLE-2S","83.000","WILD APPLE","21.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","2112.000","3/4_WILD_APPLE-2S","533.400","3/4_AUTUMN_PVC","","2010-06-18 13:23:57","","2010-06-21 14:20:28","262.64","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102405","1","402.483.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","344.470","NX-T2-3AS-48x83x24-WIL","Not Accessible","NX-T2-3AS-48x83x24-WIL","48.000","3/4_WILD_APPLE-2S","83.000","WILD APPLE","24.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","2112.000","3/4_WILD_APPLE-2S","609.600","3/4_AUTUMN_PVC","","2010-06-18 13:23:57","","2010-06-21 14:20:28","270.38","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102406","1","402.491.005.004","Not Accessible","","Cabinets","0","NX-T2-3AS","293.080","NX-T2-3AS-48x91x17-WIL","Not Accessible","NX-T2-3AS-48x91x17-WIL","48.000","3/4_WILD_APPLE-2S","91.000","WILD APPLE","17.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","2304.000","3/4_WILD_APPLE-2S","431.800","3/4_AUTUMN_PVC","","2010-06-18 13:23:58","","2010-06-21 14:20:29","258.81","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102407","1","402.492.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","332.480","NX-T2-3AS-48x91x21-WIL","Not Accessible","NX-T2-3AS-48x91x21-WIL","48.000","3/4_WILD_APPLE-2S","91.000","WILD APPLE","21.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","2304.000","3/4_WILD_APPLE-2S","533.400","3/4_AUTUMN_PVC","","2010-06-18 13:23:58","","2010-06-21 14:20:31","275.03","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 3 Adj Sh, ","SKU-102408","1","402.493.005.000","Not Accessible","","Cabinets","0","NX-T2-3AS","362.040","NX-T2-3AS-48x91x24-WIL","Not Accessible","NX-T2-3AS-48x91x24-WIL","48.000","3/4_WILD_APPLE-2S","91.000","WILD APPLE","24.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","2304.000","3/4_WILD_APPLE-2S","609.600","3/4_AUTUMN_PVC","","2010-06-18 13:23:58","","2010-06-21 14:20:32","282.85","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 1 Divider, 6 Adj ","SKU-102409","1","412.461.005.000","Not Accessible","","Cabinets","0","NX-T2P-6AS","284.200","NX-T2P-6AS-48x68x17-WIL","Not Accessible","NX-T2P-6AS-48x68x17-WIL","48.000","3/4_WILD_APPLE-2S","68.000","WILD APPLE","17.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1728.000","3/4_WILD_APPLE-2S","431.800","3/4_AUTUMN_PVC","","2010-06-18 13:23:58","","2010-06-21 14:20:32","241.85","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 1 Divider, 6 Adj ","SKU-102410","1","412.462.005.000","Not Accessible","","Cabinets","0","NX-T2P-6AS","320.010","NX-T2P-6AS-48x68x21-WIL","Not Accessible","NX-T2P-6AS-48x68x21-WIL","48.000","3/4_WILD_APPLE-2S","68.000","WILD APPLE","21.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1728.000","3/4_WILD_APPLE-2S","533.400","3/4_AUTUMN_PVC","","2010-06-18 13:23:59","","2010-06-21 14:20:33","257.51","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 1 Divider, 6 Adj ","SKU-102411","1","412.463.005.000","Not Accessible","","Cabinets","0","NX-T2P-6AS","346.860","NX-T2P-6AS-48x68x24-WIL","Not Accessible","NX-T2P-6AS-48x68x24-WIL","48.000","3/4_WILD_APPLE-2S","68.000","WILD APPLE","24.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1728.000","3/4_WILD_APPLE-2S","609.600","3/4_AUTUMN_PVC","","2010-06-18 13:23:59","","2010-06-21 14:20:33","265.11","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 1 Divider, 6 Adj ","SKU-102412","1","412.471.005.000","Not Accessible","","Cabinets","0","NX-T2P-6AS","299.670","NX-T2P-6AS-48x76x17-WIL","Not Accessible","NX-T2P-6AS-48x76x17-WIL","48.000","3/4_WILD_APPLE-2S","76.000","WILD APPLE","17.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1920.000","3/4_WILD_APPLE-2S","431.800","3/4_AUTUMN_PVC","","2010-06-18 13:23:59","","2010-06-21 14:20:33","255.56","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 1 Divider, 6 Adj ","SKU-102413","1","412.472.005.000","Not Accessible","","Cabinets","0","NX-T2P-6AS","336.670","NX-T2P-6AS-48x76x21-WIL","Not Accessible","NX-T2P-6AS-48x76x21-WIL","48.000","3/4_WILD_APPLE-2S","76.000","WILD APPLE","21.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1920.000","3/4_WILD_APPLE-2S","533.400","3/4_AUTUMN_PVC","","2010-06-18 13:23:59","","2010-06-21 14:20:33","271.41","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 2 Doors, 1 Divider, 6 Adj ","SKU-102414","1","412.473.005.000","Not Accessible","","Cabinets","0","NX-T2P-6AS","364.430","NX-T2P-6AS-48x76x24-WIL","Not Accessible","NX-T2P-6AS-48x76x24-WIL","48.000","3/4_WILD_APPLE-2S","76.000","WILD APPLE","24.000","3/4_AUTUMN_PVC","1219.200","1_AUTUMN_PVC","1920.000","3/4_WILD_APPLE-2S","609.600","3/4_AUTUMN_PVC","","2010-06-18 13:24:00","","2010-06-21 14:20:34","279.07","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
